"region","serviceName","lastModifiedDate"
"ap-southeast-2","auditmanager","2020-12-29T13:52:10.791Z"
"ap-southeast-2","codeguru-reviewer","2019-12-10T21:55:35.834Z"
"ap-southeast-2","cognito-idp","2019-04-18T03:36:31.880Z"
"ap-southeast-2","ebs","2019-12-20T14:46:44.547Z"
"ap-southeast-2","emr-containers","2021-03-03T21:35:09.759Z"
"ap-southeast-2","freertosota","2020-08-27T00:15:04.560Z"
"ap-southeast-2","lightsail","2019-04-18T03:46:08.071Z"
"ap-southeast-2","neptune","2019-04-18T03:45:08.141Z"
"ap-southeast-2","opsworkschefautomate","2020-09-04T13:58:19.415Z"
"ap-southeast-2","xray","2019-04-18T03:44:40.953Z"
"ap-southeast-2","amplify","2019-07-19T14:22:44.457Z"
"ap-southeast-2","cloudshell","2021-05-12T20:43:32.160Z"
"ap-southeast-2","codebuild","2019-04-18T03:36:27.481Z"
"ap-southeast-2","gamelift","2019-04-18T03:45:52.037Z"
"ap-southeast-2","medialive","2019-04-18T03:46:10.053Z"
"ap-southeast-2","route53-recovery-control-config","2021-08-06T12:51:17.970Z"
"ap-southeast-2","s3","2019-04-18T03:45:21.194Z"
"ap-southeast-2","sagemaker-runtime","2019-04-19T21:06:10.683Z"
"ap-southeast-2","serverlessrepo","2019-04-18T03:45:27.834Z"
"ap-southeast-2","transcribemedical","2020-09-09T15:31:39.434Z"
"ap-southeast-2","acm-pca","2019-04-18T03:37:17.168Z"
"ap-southeast-2","clouddirectory","2020-02-11T01:18:35.121Z"
"ap-southeast-2","cognito-identity","2019-04-18T03:36:31.337Z"
"ap-southeast-2","mediastore","2019-04-18T03:45:05.927Z"
"ap-southeast-2","redshift-data","2020-09-19T06:41:47.683Z"
"ap-southeast-2","s3outposts","2020-11-04T13:54:44.020Z"
"ap-southeast-2","sms","2019-04-18T03:45:33.176Z"
"ap-southeast-2","sms-voice","2019-06-06T15:14:10.453Z"
"ap-southeast-2","sumerian","2020-08-27T00:14:23.431Z"
"ap-southeast-2","translate","2019-11-26T15:17:55.068Z"
"ap-southeast-2","amp","2021-09-29T18:43:58.874Z"
"ap-southeast-2","artifact","2020-08-27T00:14:55.895Z"
"ap-southeast-2","drs","2021-12-08T16:44:17.987Z"
"ap-southeast-2","kafkaconnect","2022-02-15T22:12:03.986Z"
"ap-southeast-2","kinesis","2019-04-18T03:46:01.730Z"
"ap-southeast-2","opsworkspuppetenterprise","2020-09-04T13:58:18.691Z"
"ap-southeast-2","redshift","2019-04-18T03:45:15.339Z"
"ap-southeast-2","rosa","2022-02-10T20:29:40.083Z"
"ap-southeast-2","vmwarecloudonaws","2020-08-27T00:15:21.390Z"
"ap-southeast-2","waf","2019-07-12T14:06:27.303Z"
"ap-southeast-2","chatbot","2020-08-27T00:13:48.470Z"
"ap-southeast-2","cloudenduremigration","2020-09-02T14:01:37.809Z"
"ap-southeast-2","directconnect","2019-04-18T03:36:41.245Z"
"ap-southeast-2","elasticache","2019-04-18T03:45:42.870Z"
"ap-southeast-2","firehose","2019-04-18T03:45:51.006Z"
"ap-southeast-2","iotevents-data","2019-06-25T15:24:19.591Z"
"ap-southeast-2","kafka","2019-05-02T14:04:23.256Z"
"ap-southeast-2","managedservices","2020-09-04T13:58:24.870Z"
"ap-southeast-2","service-quotas","2019-07-12T21:47:29.155Z"
"ap-southeast-2","servicecatalog","2019-04-18T03:45:32.668Z"
"ap-southeast-2","autoscaling","2019-04-18T03:36:14.790Z"
"ap-southeast-2","comprehendmedical","2019-05-29T14:07:59.891Z"
"ap-southeast-2","connect-contact-lens","2020-12-04T18:34:56.997Z"
"ap-southeast-2","efs","2019-04-18T03:45:39.788Z"
"ap-southeast-2","forecastquery","2020-03-24T02:55:50.290Z"
"ap-southeast-2","fsx-windows","2020-08-27T00:13:59.745Z"
"ap-southeast-2","identitystore","2020-09-19T06:41:44.969Z"
"ap-southeast-2","network-firewall","2021-01-07T15:55:41.726Z"
"ap-southeast-2","sqs","2019-04-18T03:45:36.678Z"
"ap-southeast-2","transitgateway","2020-08-27T00:15:14.120Z"
"ap-southeast-2","apigateway","2019-04-18T03:37:17.586Z"
"ap-southeast-2","athena","2019-04-18T03:36:14.462Z"
"ap-southeast-2","elasticbeanstalk","2019-04-18T03:45:45.615Z"
"ap-southeast-2","fargate","2020-08-27T00:15:07.071Z"
"ap-southeast-2","glue","2019-04-18T03:45:55.696Z"
"ap-southeast-2","kinesisvideo","2019-04-18T03:46:01.897Z"
"ap-southeast-2","logs","2019-04-18T03:46:08.231Z"
"ap-southeast-2","mgn","2021-05-06T21:21:07.420Z"
"ap-southeast-2","pinpoint-sms-voice","2019-04-25T13:44:30.972Z"
"ap-southeast-2","sts","2019-04-18T03:44:31.954Z"
"ap-southeast-2","aiq","2020-09-10T21:53:11.213Z"
"ap-southeast-2","amazonlocationservice","2021-05-24T22:55:17.523Z"
"ap-southeast-2","appintegrations","2020-12-04T17:05:08.409Z"
"ap-southeast-2","chime","2019-12-06T16:09:30.196Z"
"ap-southeast-2","codestar","2019-04-18T03:36:31.138Z"
"ap-southeast-2","iotdevicedefender","2020-08-27T00:14:44.657Z"
"ap-southeast-2","iotevents","2019-06-25T15:24:18.820Z"
"ap-southeast-2","privatelink","2020-08-27T00:14:29.702Z"
"ap-southeast-2","ram","2019-04-18T03:45:13.706Z"
"ap-southeast-2","ssm-incidents","2021-05-18T12:50:41.083Z"
"ap-southeast-2","appstream","2019-04-21T18:59:19.811Z"
"ap-southeast-2","cloudtrail","2019-04-18T03:36:25.054Z"
"ap-southeast-2","codeguruprofiler","2019-12-10T21:55:57.110Z"
"ap-southeast-2","guardduty","2019-04-18T03:45:57.312Z"
"ap-southeast-2","iotanalytics","2020-07-16T16:43:50.416Z"
"ap-southeast-2","iotfleethub","2021-05-12T18:26:05.979Z"
"ap-southeast-2","kms","2019-04-18T03:46:04.989Z"
"ap-southeast-2","lakeformation","2019-11-08T15:06:12.045Z"
"ap-southeast-2","quicksight","2019-07-19T14:22:45.939Z"
"ap-southeast-2","synthetics","2020-05-01T21:09:51.293Z"
"ap-southeast-2","application-autoscaling","2019-04-18T03:37:18.869Z"
"ap-southeast-2","augmentedairuntime","2020-08-31T13:52:47.798Z"
"ap-southeast-2","cloud9","2019-12-18T21:10:45.464Z"
"ap-southeast-2","codepipeline","2019-04-18T03:36:29.702Z"
"ap-southeast-2","dataexchange","2019-11-22T20:26:43.398Z"
"ap-southeast-2","datapipeline","2019-04-18T03:36:37.068Z"
"ap-southeast-2","dynamodb","2019-04-18T03:36:43.176Z"
"ap-southeast-2","macie","2020-09-10T21:53:03.654Z"
"ap-southeast-2","marketplace","2020-08-27T00:14:51.816Z"
"ap-southeast-2","phd","2020-08-27T00:15:11.663Z"
"ap-southeast-2","codeartifact","2020-06-17T22:09:06.185Z"
"ap-southeast-2","codecommit","2019-04-18T03:36:27.855Z"
"ap-southeast-2","connectparticipant","2021-02-16T13:49:17.443Z"
"ap-southeast-2","emr","2019-04-18T03:45:47.426Z"
"ap-southeast-2","imagebuilder","2019-12-10T21:55:48.915Z"
"ap-southeast-2","kinesisanalytics","2019-05-08T21:37:16.616Z"
"ap-southeast-2","lambda","2019-04-18T03:46:05.393Z"
"ap-southeast-2","pinpoint-email","2019-04-26T02:29:23.528Z"
"ap-southeast-2","schemas","2020-04-30T17:56:15.322Z"
"ap-southeast-2","secretsmanager","2019-04-18T03:45:27.335Z"
"ap-southeast-2","cloudformation","2019-04-18T03:36:21.500Z"
"ap-southeast-2","cloudfront","2019-04-18T03:36:21.658Z"
"ap-southeast-2","cloudhsmv2","2019-04-18T03:36:24.641Z"
"ap-southeast-2","customer-profiles","2020-12-11T13:48:26.088Z"
"ap-southeast-2","detective","2020-03-31T08:30:54.514Z"
"ap-southeast-2","elastictranscoder","2019-04-18T03:45:45.790Z"
"ap-southeast-2","events","2019-04-18T03:45:50.854Z"
"ap-southeast-2","globalaccelerator","2019-04-26T19:58:11.590Z"
"ap-southeast-2","iotthingsgraph","2019-06-12T12:33:20.041Z"
"ap-southeast-2","stepfunctions","2019-04-18T03:45:37.437Z"
"ap-southeast-2","appmesh","2019-04-18T03:36:11.389Z"
"ap-southeast-2","fsx","2019-04-18T03:45:51.838Z"
"ap-southeast-2","iot","2019-04-18T03:46:00.640Z"
"ap-southeast-2","lex-models","2019-12-11T00:01:02.149Z"
"ap-southeast-2","pi","2019-04-18T03:45:10.961Z"
"ap-southeast-2","pinpoint","2019-04-24T23:46:51.029Z"
"ap-southeast-2","sdb","2019-04-18T03:45:27.086Z"
"ap-southeast-2","transcribe","2019-04-18T03:44:36.322Z"
"ap-southeast-2","transfer","2019-04-18T03:44:36.564Z"
"ap-southeast-2","vpn","2020-08-27T00:14:34.223Z"
"ap-southeast-2","appflow","2020-08-27T00:14:59.266Z"
"ap-southeast-2","aurora","2020-08-27T00:14:31.898Z"
"ap-southeast-2","codestar-notifications","2019-11-22T20:26:42.648Z"
"ap-southeast-2","frauddetector","2020-05-19T19:51:14.485Z"
"ap-southeast-2","grafana","2022-02-08T20:44:28.608Z"
"ap-southeast-2","iot-jobs-data","2021-08-18T20:12:46.025Z"
"ap-southeast-2","resource-groups","2019-04-18T03:45:18.975Z"
"ap-southeast-2","ssm","2019-04-18T03:45:36.922Z"
"ap-southeast-2","support","2019-04-18T03:44:32.552Z"
"ap-southeast-2","workdocs","2019-04-18T03:44:40.430Z"
"ap-southeast-2","acm","2019-04-18T03:37:17.093Z"
"ap-southeast-2","devops-guru","2021-05-13T22:50:49.845Z"
"ap-southeast-2","dynamodbstreams","2019-04-18T03:36:46.624Z"
"ap-southeast-2","ecr","2019-04-21T18:59:22.798Z"
"ap-southeast-2","eventbridge","2020-09-02T14:01:34.042Z"
"ap-southeast-2","greengrass","2019-04-18T03:45:55.922Z"
"ap-southeast-2","iot-data","2019-04-18T03:46:00.719Z"
"ap-southeast-2","license-manager","2019-04-18T03:46:07.715Z"
"ap-southeast-2","mediastore-data","2019-05-08T03:29:30.561Z"
"ap-southeast-2","rekognition","2019-04-18T03:45:15.928Z"
"ap-southeast-2","application-insights","2019-07-12T21:47:28.836Z"
"ap-southeast-2","budgets","2019-04-18T03:36:18.275Z"
"ap-southeast-2","discovery","2020-03-24T20:50:10.169Z"
"ap-southeast-2","fis","2021-04-03T03:59:30.347Z"
"ap-southeast-2","glacier","2019-04-18T03:45:52.219Z"
"ap-southeast-2","iotsitewise","2020-10-07T21:16:51.504Z"
"ap-southeast-2","organizations","2019-04-19T21:06:09.416Z"
"ap-southeast-2","sagemaker-featurestore-runtime","2021-02-09T23:28:15.232Z"
"ap-southeast-2","servicecatalog-appregistry","2021-08-04T21:00:42.080Z"
"ap-southeast-2","sns","2019-04-18T03:45:33.600Z"
"ap-southeast-2","appconfig","2020-04-01T16:29:23.276Z"
"ap-southeast-2","controltower","2020-08-27T00:14:38.644Z"
"ap-southeast-2","dms","2019-04-18T03:36:41.676Z"
"ap-southeast-2","eks","2019-04-21T18:59:23.045Z"
"ap-southeast-2","kendra","2020-11-02T17:53:36.814Z"
"ap-southeast-2","mediaconnect","2019-04-18T03:46:08.484Z"
"ap-southeast-2","mq","2019-04-18T03:45:07.893Z"
"ap-southeast-2","sagemaker","2019-04-18T03:45:25.563Z"
"ap-southeast-2","sso","2019-11-22T20:26:45.032Z"
"ap-southeast-2","textract","2019-12-10T22:21:13.431Z"
"ap-southeast-2","batch","2019-04-18T03:36:16.762Z"
"ap-southeast-2","cognito-sync","2019-04-18T03:36:33.705Z"
"ap-southeast-2","ds","2019-04-18T03:36:42.836Z"
"ap-southeast-2","iotwireless","2021-07-08T17:52:09.550Z"
"ap-southeast-2","mwaa","2020-12-01T23:01:54.492Z"
"ap-southeast-2","opsworks","2019-04-18T03:45:09.953Z"
"ap-southeast-2","servicediscovery","2019-04-21T18:59:26.201Z"
"ap-southeast-2","shield","2020-04-17T21:41:47.098Z"
"ap-southeast-2","storagegateway","2019-04-18T03:44:31.742Z"
"ap-southeast-2","swf","2019-04-18T03:44:35.815Z"
"ap-southeast-2","amplifybackend","2021-02-09T04:07:08.885Z"
"ap-southeast-2","apigatewayv2","2019-06-06T15:14:10.211Z"
"ap-southeast-2","appsync","2019-04-18T03:36:11.471Z"
"ap-southeast-2","codestar-connections","2020-04-03T18:42:00.914Z"
"ap-southeast-2","dax","2019-04-18T03:36:40.988Z"
"ap-southeast-2","es","2019-04-18T03:45:47.713Z"
"ap-southeast-2","opsworkscm","2019-04-18T03:45:10.177Z"
"ap-southeast-2","resourcegroupstaggingapi","2019-04-18T03:45:19.257Z"
"ap-southeast-2","waf-regional","2019-04-18T03:44:40.190Z"
"ap-southeast-2","workspaces","2019-04-18T03:44:40.650Z"
"ap-southeast-2","cloudwatch","2019-04-18T03:36:25.290Z"
"ap-southeast-2","codedeploy","2019-04-18T03:36:29.446Z"
"ap-southeast-2","comprehend","2019-04-18T03:36:36.596Z"
"ap-southeast-2","config","2019-04-18T03:36:36.831Z"
"ap-southeast-2","databrew","2020-12-04T17:05:08.491Z"
"ap-southeast-2","fms","2019-04-18T03:45:51.313Z"
"ap-southeast-2","fsx-ontap","2021-09-10T17:21:32.137Z"
